energy	num_occurrences	sample
-20.000000	4872	[1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 1]
-18.000000	718	[1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1]
-18.000000	219	[1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1]
-18.000000	56	[1 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1]
-18.000000	51	[1 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1]
-18.000000	65	[1 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1]
-18.000000	90	[0 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 1]
-18.000000	279	[1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1]
-18.000000	405	[1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0]
-18.000000	75	[1 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1]
-18.000000	525	[1 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	77	[1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 0]
-16.000000	3	[1 0 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	15	[1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 0 1]
-16.000000	154	[1 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0]
-16.000000	76	[1 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	8	[1 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1]
-16.000000	31	[1 0 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1]
-16.000000	9	[0 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	214	[1 0 0 0 0 1 1 0 1 0 1 1 0 0 1 1 0]
-16.000000	47	[1 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1]
-16.000000	16	[1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1]
-16.000000	157	[1 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0]
-16.000000	2	[0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1]
-16.000000	9	[1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0 1]
-16.000000	7	[1 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0]
-16.000000	11	[0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	22	[1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1]
-16.000000	3	[1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1]
-16.000000	1	[1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 1]
-16.000000	5	[1 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0 0]
-16.000000	5	[0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1]
-16.000000	1	[0 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0]
-16.000000	117	[1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1]
-16.000000	383	[0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 1 0]
-16.000000	1	[1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 1]
-16.000000	198	[0 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	3	[1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1]
-16.000000	33	[1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 0]
-16.000000	4	[1 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 1]
-16.000000	29	[1 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0]
-16.000000	6	[1 0 1 1 0 1 0 1 1 0 0 0 0 1 0 0 1]
-16.000000	1	[0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1]
-16.000000	6	[1 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1]
-16.000000	1	[0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	10	[1 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1]
-16.000000	5	[1 0 1 1 0 1 0 1 0 0 0 1 0 1 0 0 1]
-16.000000	7	[1 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0]
-16.000000	2	[0 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1]
-16.000000	1	[1 0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 1]
-16.000000	4	[1 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1]
-16.000000	9	[0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1]
-16.000000	3	[1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 1]
-16.000000	3	[1 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 0]
-16.000000	21	[1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0]
-16.000000	7	[1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1]
-16.000000	17	[1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1]
-16.000000	12	[1 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1]
-16.000000	41	[1 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 0]
-16.000000	1	[1 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1]
-16.000000	112	[1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1]
-14.000000	1	[1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 1]
-14.000000	1	[1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1]
-14.000000	4	[1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1]
-14.000000	1	[1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0]
-14.000000	1	[1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1]
-14.000000	3	[1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 0 0]
-14.000000	2	[1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0]
-14.000000	5	[1 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 0]
-14.000000	1	[1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1]
-14.000000	5	[1 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0]
-14.000000	8	[1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1]
-14.000000	3	[1 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0]
-14.000000	5	[1 0 0 1 0 1 0 0 1 0 1 0 0 0 1 1 0]
-14.000000	16	[0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1]
-14.000000	2	[0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1]
-14.000000	29	[0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0]
-14.000000	4	[0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1]
-14.000000	5	[0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 1 0]
-14.000000	12	[1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0]
-14.000000	2	[0 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 0]
-14.000000	11	[1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 0]
-14.000000	1	[1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1]
-14.000000	1	[0 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1]
-14.000000	1	[0 0 1 1 0 1 0 1 0 0 0 1 0 1 0 0 1]
-14.000000	5	[1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 1 0]
-14.000000	13	[1 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1]
-14.000000	1	[1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0]
-14.000000	4	[1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0]
-14.000000	6	[1 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 1]
-14.000000	1	[0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0]
-14.000000	1	[0 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1]
-14.000000	1	[1 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0]
-14.000000	1	[0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-14.000000	6	[0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1]
-14.000000	5	[1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0]
-14.000000	3	[0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0]
-14.000000	1	[1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1]
-14.000000	4	[1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0]
-14.000000	18	[1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0]
-14.000000	2	[1 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0]
-14.000000	22	[1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0]
-14.000000	7	[1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 1]
-14.000000	1	[1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0]
-14.000000	1	[1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0 0]
-14.000000	6	[1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1]
-14.000000	2	[1 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0]
-14.000000	2	[1 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1]
-14.000000	2	[1 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0]
-14.000000	1	[1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 0]
-14.000000	3	[0 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0]
-14.000000	8	[0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1]
-14.000000	7	[1 0 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0]
-14.000000	2	[1 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0]
-14.000000	3	[1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0]
-14.000000	4	[1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1]
-14.000000	3	[1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1]
-14.000000	1	[1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1]
-14.000000	3	[1 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 0]
-14.000000	18	[0 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0]
-14.000000	1	[1 0 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1]
-14.000000	3	[1 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0]
-14.000000	5	[0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0]
-14.000000	5	[0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0]
-14.000000	1	[1 0 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0]
-14.000000	1	[1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1]
-14.000000	47	[0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0]
-14.000000	8	[1 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0]
-14.000000	21	[0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 0]
-14.000000	5	[0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1]
-14.000000	18	[1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-14.000000	1	[1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0]
-14.000000	1	[1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0]
-14.000000	2	[1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 0]
-14.000000	10	[1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1]
-14.000000	1	[1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1]
-14.000000	1	[1 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0]
-14.000000	1	[0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1]
-14.000000	5	[0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 0]
-14.000000	1	[0 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1]
-14.000000	11	[1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1]
-14.000000	1	[1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 0 0]
-14.000000	9	[1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0]
-14.000000	1	[1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 1]
-14.000000	1	[0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0]
-14.000000	1	[1 0 0 1 0 1 0 1 1 0 1 1 0 0 1 1 0]
-14.000000	1	[1 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1]
-14.000000	1	[0 1 1 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-14.000000	2	[0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1]
-14.000000	1	[1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0]
-14.000000	3	[1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1]
-14.000000	22	[1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1]
-14.000000	14	[1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0]
-14.000000	1	[1 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 1]
-14.000000	6	[0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0]
-14.000000	3	[1 1 0 0 0 1 1 0 1 0 1 1 0 0 1 1 0]
-14.000000	7	[1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 1]
-14.000000	1	[1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1]
-14.000000	4	[0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1]
-14.000000	13	[1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1]
-14.000000	9	[1 0 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1]
-12.000000	1	[1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1]
-12.000000	5	[1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0]
-12.000000	1	[1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1]
-12.000000	3	[1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0]
-12.000000	1	[1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1]
-12.000000	3	[0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1]
-12.000000	1	[1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1]
-12.000000	2	[1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1]
-12.000000	1	[1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1]
-12.000000	1	[0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0]
-12.000000	1	[0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0]
-12.000000	1	[1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0]
-12.000000	1	[1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0]
-12.000000	1	[1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1]
-12.000000	1	[1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0]
-12.000000	1	[1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 1]
-12.000000	1	[1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1]
-12.000000	4	[0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0]
-12.000000	1	[1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 0]
-12.000000	1	[1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1]
-12.000000	1	[0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1]
-12.000000	1	[1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0]
-12.000000	1	[1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 1]
-12.000000	1	[0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0]
-12.000000	1	[0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0]
-12.000000	1	[1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 0]
-12.000000	1	[0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1]
-12.000000	1	[1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 1 0]
-12.000000	1	[1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1]
-12.000000	3	[1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1]
-12.000000	1	[1 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1]
-12.000000	2	[1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0]
-12.000000	1	[0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0]
-12.000000	1	[0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0]
-12.000000	4	[1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1]
-12.000000	3	[0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0]
-12.000000	1	[0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 1]
-12.000000	1	[0 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1]
-12.000000	2	[0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1]
-12.000000	1	[0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0]
-12.000000	2	[1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0]
-12.000000	1	[0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1]
-12.000000	1	[1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1]
-12.000000	2	[1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0]
-12.000000	3	[0 1 0 0 0 1 1 0 1 0 1 1 0 1 0 0 1]
-12.000000	1	[0 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1]
-12.000000	5	[1 0 1 1 1 0 0 1 1 0 1 1 0 1 0 0 1]
-12.000000	1	[1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1]
-12.000000	10	[0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0]
-12.000000	2	[1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0]
-12.000000	1	[0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1]
-12.000000	1	[0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1]
-12.000000	2	[1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0]
-12.000000	5	[0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1]
-12.000000	1	[0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1]
-12.000000	2	[1 0 1 0 0 1 1 0 1 0 1 1 0 0 1 0 0]
-12.000000	6	[1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0]
-12.000000	3	[1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-12.000000	1	[1 0 1 1 0 1 0 1 0 0 1 1 1 1 0 0 1]
-12.000000	5	[1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0]
-12.000000	1	[1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1]
-12.000000	1	[1 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0]
-12.000000	1	[1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0]
-12.000000	1	[1 0 1 1 1 0 0 1 0 0 1 1 0 0 0 0 1]
