energy	num_occurrences	sample
-22.000000	0	5703	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 1]
-20.000000	0	177	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 0 1]
-20.000000	0	687	[0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 1]
-20.000000	0	77	[0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 1 1]
-20.000000	0	230	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0]
-20.000000	0	215	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1]
-20.000000	0	301	[0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1]
-20.000000	0	42	[0 1 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 1 1]
-20.000000	0	135	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1]
-20.000000	0	80	[0 1 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1]
-20.000000	0	450	[0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 1]
-20.000000	0	197	[0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1]
-18.000000	0	4	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1]
-18.000000	0	7	[0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 1]
-18.000000	0	3	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1]
-18.000000	0	3	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 1]
-18.000000	0	4	[0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1]
-18.000000	0	3	[0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0]
-18.000000	0	22	[0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 0 1]
-18.000000	0	85	[0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1]
-18.000000	0	9	[0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1]
-18.000000	0	2	[0 1 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1]
-18.000000	0	3	[0 1 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1]
-18.000000	0	5	[0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1]
-18.000000	0	145	[0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0]
-18.000000	0	8	[0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1]
-18.000000	0	5	[0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1]
-18.000000	0	2	[0 1 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 1]
-18.000000	0	2	[0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1]
-18.000000	0	1	[0 1 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1]
-18.000000	0	1	[0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 1]
-18.000000	0	20	[0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1]
-18.000000	0	52	[0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1]
-18.000000	0	110	[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0]
