energy	num_occurrences	sample
-8.000000	1379	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	580	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-5.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	2	[0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0]
-6.000000	3	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0]
-6.000000	5	[0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	3	[0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	5	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-5.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-2.000000	6	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0]
-5.000000	1	[0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0]
-5.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-5.000000	1	[0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0]
-5.000000	2	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-2.000000	1	[0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0]
