energy	num_occurrences	sample
-8.000000	572	[0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	24	[0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	1	[0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0]
-8.000000	1	[0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-8.000000	1	[0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-8.000000	1	[0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	3	[1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1]
-6.000000	8	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0]
-6.000000	4	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0]
-6.000000	20	[1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	36	[1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0]
-6.000000	47	[1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0]
-6.000000	16	[1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0]
-6.000000	6	[1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	7	[1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0]
-6.000000	6	[1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0]
-6.000000	12	[1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0]
-6.000000	1	[1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0]
-6.000000	1	[1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	19	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	4	[1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0]
-6.000000	15	[1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0]
-6.000000	3	[1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	3	[0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0]
-6.000000	9	[0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1]
-6.000000	5	[0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	82	[0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1]
-6.000000	6	[0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	22	[0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1]
-6.000000	4	[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1]
-6.000000	2	[0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0]
-6.000000	7	[0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0]
-6.000000	1	[0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0]
-6.000000	102	[1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	13	[0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	16	[0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	1	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
-6.000000	4	[0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0]
