energy	num_occurrences\cbf	sample
-8.000000	6805	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	8	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	19	0.0625	[0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0]
-2.000000	40	0.0625	[0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	837	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-8.000000	2	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	3	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	25	0.0625	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-3.000000	9	0.0625	[0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0]
-5.000000	19	0.0625	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-3.000000	15	0.0625	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-5.000000	42	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-3.000000	46	0.0625	[0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	3	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	15	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-3.000000	11	0.0625	[0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0]
-8.000000	4	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	5	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	5	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	3	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	4	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	4	0	[0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	4	0	[0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0]
-6.000000	4	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0]
-6.000000	2	0	[0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]
-1.000000	2	0.125	[0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0]
1.000000	5	0.125	[0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
3.000000	1	0.125	[0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0]
-1.000000	1	0.125	[0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0]
-5.000000	1	0.125	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
0.000000	3	0.125	[0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 0]
0.000000	3	0.125	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1]
0.000000	2	0.125	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
4.000000	2	0.125	[0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
4.000000	8	0.125	[0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
0.000000	2	0.125	[0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0]
0.000000	1	0.125	[0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 0]
-5.000000	2	0.125	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
4.000000	1	0.125	[0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
-5.000000	1	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1]
-5.000000	1	0	[0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1]
-5.000000	1	0	[0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0]
-5.000000	1	0.125	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-3.000000	2	0.0625	[0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0]
-3.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0]
-3.000000	1	0.0625	[0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0]
-5.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-5.000000	1	0.125	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-5.000000	1	0.125	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-3.000000	1	0.125	[0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0]
