energy	num_occurrences\cbf	sample
-8.000000	452	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	494	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	8	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0]
-5.000000	7	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-5.000000	8	0.0625	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-5.000000	5	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	0	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	1	0	[0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0]
-6.000000	1	0	[0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	3	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-6.000000	1	0	[0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	0	[0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	3	0	[0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	1	0	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0]
-5.000000	3	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-5.000000	1	0	[1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-8.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-3.000000	1	0	[0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0]
